NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 74001001;ABONDANCE;46.284500;6.734167;947;19480113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 74001001;ABONDANCE;46.284500;6.734167;947;19480126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
